phase,rank,node,score
1,1,n1,0.906593
1,2,n89,0.142857
1,3,n88,0.053114
1,4,n83,0.036630
1,5,n85,0.036630
1,6,n6,0.010989
1,7,n4,0.000000
1,8,n3,0.000000
1,9,n5,0.000000
1,10,n90,0.000000
2,1,n1,0.942688
2,2,n89,0.123847
2,3,n83,0.086957
2,4,n88,0.083004
2,5,n76,0.038208
2,6,n11,0.006588
2,7,n85,0.003294
2,8,n3,0.001976
2,9,n8,0.001976
2,10,n5,0.000000
3,1,n1,0.829503
3,2,n3,0.095497
3,3,n9,0.067540
3,4,n5,0.062500
3,5,n83,0.046573
3,6,n6,0.033333
3,7,n85,0.029973
3,8,n86,0.028024
3,9,n49,0.007527
3,10,n2,0.001008
4,1,n1,0.839310
4,2,n89,0.196213
4,3,n3,0.090438
4,4,n83,0.079589
4,5,n8,0.062500
4,6,n107,0.062500
4,7,n13,0.062500
4,8,n86,0.047427
4,9,n85,0.016537
4,10,n9,0.014761
5,1,n1,0.883871
5,2,n12,0.269892
5,3,n89,0.064516
5,4,n83,0.064516
5,5,n85,0.064516
5,6,n31,0.064516
5,7,n3,0.044086
5,8,n4,0.000000
5,9,n5,0.000000
5,10,n88,0.000000
6,1,n1,0.542564
6,2,n12,0.382051
6,3,n3,0.227179
6,4,n76,0.098462
6,5,n85,0.010256
6,6,n8,0.001026
6,7,n4,0.000000
6,8,n83,0.000000
6,9,n5,0.000000
6,10,n2,0.000000
7,1,n1,0.589356
7,2,n76,0.134454
7,3,n3,0.073389
7,4,n85,0.031653
7,5,n12,0.016807
7,6,n19,0.011204
7,7,n87,0.001961
7,8,n4,0.000000
7,9,n83,0.000000
7,10,n5,0.000000
8,1,n1,0.553659
8,2,n12,0.356707
8,3,n3,0.314634
8,4,n14,0.263415
8,5,n87,0.177439
8,6,n76,0.118293
8,7,n22,0.076829
8,8,n2,0.055285
8,9,n11,0.048780
8,10,n20,0.006098
9,1,n3,0.576231
9,2,n12,0.357323
9,3,n1,0.249053
9,4,n87,0.236269
9,5,n76,0.131944
9,6,n82,0.115688
9,7,n7,0.087753
9,8,n79,0.062500
9,9,n85,0.060606
9,10,n96,0.038984
10,1,n1,0.342683
10,2,n87,0.188415
10,3,n37,0.174390
10,4,n76,0.068293
10,5,n82,0.068293
10,6,n83,0.035366
10,7,n8,0.035366
10,8,n71,0.035366
10,9,n12,0.030488
10,10,n14,0.003659
11,1,n41,0.554060
11,2,n1,0.526282
11,3,n12,0.429915
11,4,n76,0.332051
11,5,n79,0.178846
11,6,n82,0.137179
11,7,n14,0.092308
11,8,n87,0.070513
11,9,n58,0.047436
11,10,n96,0.047436
